article_id,article_title,source_pdf,page_number,page_index,line_index,line_id,text,final_block_index,final_block_role,role_hint,active_runtime_model,runtime_action,runtime_action_confidence,runtime_emission_argmax_action,runtime_emission_argmax_confidence,runtime_score_hide_noise,runtime_score_keep,runtime_score_marginalia,shadow_model,shadow_catboost_action,shadow_catboost_confidence,shadow_prob_hide_noise,shadow_prob_keep,shadow_prob_marginalia,runtime_shadow_disagreement,review_priority,top_feature_1_name,top_feature_1_value,top_feature_1_shap,top_feature_2_name,top_feature_2_value,top_feature_2_shap,top_feature_3_name,top_feature_3_value,top_feature_3_shap,pc1,pc2,pc3,y_bottom_ratio,font_ratio_page,font_ratio_doc,below_footnote_divider,page_has_footnote_divider,doc_note_marker
037,The Cost of Justice at the Dawn of AI,../originals/037-cost-of-justice-ai.pdf,1,0,0,p0:l0,The Cost of Justice at the Dawn of AI,0,heading,,lm2-heuristic-fallback,keep,0.851774457631,keep,0.851774457631,0.0,1.95,-1.5,lm2-catboost-augmented-epoch51lv-relabels-tc.cbm (shadow only),hide_noise,0.817623916877,0.817623916877,0.178595501866,0.003780581257,true,high,catboost_text,The Cost of Justice at the Dawn of AI,0.748964103891,alpha_count,29.0,0.665720165936,uppercase_ratio,0.20689655,0.486834843346,1.44578595593,-6.289503135104,1.590282242827,0.7571288,1.1406308,1.153687,false,true,0
037,The Cost of Justice at the Dawn of AI,../originals/037-cost-of-justice-ai.pdf,1,0,1,p0:l1,Michael Abramowicz*,1,marginalia,,lm2-heuristic-fallback,keep,0.785597034589,keep,0.785597034589,0.0,1.5,-1.5,lm2-catboost-augmented-epoch51lv-relabels-tc.cbm (shadow only),hide_noise,0.794652860934,0.794652860934,0.196817292696,0.008529846369,true,medium,alpha_count,17.0,0.748943028762,catboost_text,Michael Abramowicz*,0.712393373652,uppercase_ratio,0.11764706,0.359799552043,-2.58142999353,-7.462747825605,0.964036874165,0.70577276,0.9778948,0.9890882,false,true,0
037,The Cost of Justice at the Dawn of AI,../originals/037-cost-of-justice-ai.pdf,1,0,2,p0:l2,"Justice isn’t free, but it might soon get much less expensive. Policies concerning",2,paragraph,paragraph,lm2-heuristic-fallback,keep,0.890765739762,keep,0.890765739762,0.0,2.3,-1.5,lm2-catboost-augmented-epoch51lv-relabels-tc.cbm (shadow only),keep,0.970915401427,0.0254997501,0.970915401427,0.003584848473,false,normal,catboost_text,"Justice isn’t free, but it might soon get much less expensive. Policies concerning",0.903585900534,font_size,11.86747,0.275072649175,lines_from_doc_start,2.0,-0.178694891597,3.460226888882,-1.567749275426,3.947374978971,0.6682272,0.9889558,1.0002759,false,true,0
037,The Cost of Justice at the Dawn of AI,../originals/037-cost-of-justice-ai.pdf,1,0,3,p0:l3,"issues such as arbitration, class actions, and plea bargaining depend on how much",2,paragraph,paragraph,lm2-heuristic-fallback,keep,0.890765739762,keep,0.890765739762,0.0,2.3,-1.5,lm2-catboost-augmented-epoch51lv-relabels-tc.cbm (shadow only),keep,0.976294828598,0.020712743168,0.976294828598,0.002992428234,false,normal,catboost_text,"issues such as arbitration, class actions, and plea bargaining depend on how much",0.902241139656,font_size,12.0,0.302733531466,uppercase_ratio,0.0,0.158945322433,3.473963319398,-1.61867058634,3.868586878828,0.6508031,1.0,1.0114464,false,true,0
037,The Cost of Justice at the Dawn of AI,../originals/037-cost-of-justice-ai.pdf,1,0,4,p0:l4,"legal services cost, but the legal literature has generally ignored past and future",2,paragraph,paragraph,lm2-heuristic-fallback,keep,0.890765739762,keep,0.890765739762,0.0,2.3,-1.5,lm2-catboost-augmented-epoch51lv-relabels-tc.cbm (shadow only),keep,0.977331440896,0.019042132814,0.977331440896,0.00362642629,false,normal,catboost_text,"legal services cost, but the legal literature has generally ignored past and future",0.884850467523,font_size,11.869047,0.306288339325,uppercase_ratio,0.0,0.155077734327,3.389295447704,-1.452453365856,3.845505284051,0.63337874,0.9890873,1.0004088,false,true,0
037,The Cost of Justice at the Dawn of AI,../originals/037-cost-of-justice-ai.pdf,1,0,5,p0:l5,cost trends and their implications. The result is a legal system that may change,2,paragraph,paragraph,lm2-heuristic-fallback,keep,0.890765739762,keep,0.890765739762,0.0,2.3,-1.5,lm2-catboost-augmented-epoch51lv-relabels-tc.cbm (shadow only),keep,0.978073177684,0.018410305536,0.978073177684,0.00351651678,false,normal,catboost_text,cost trends and their implications. The result is a legal system that may change,0.894320529196,font_size,11.592592,0.333643459213,uppercase_ratio,0.01515152,0.160315493909,3.090342413676,-1.262260829761,3.881397395171,0.6159545,0.9660494,0.9771071,false,true,0
037,The Cost of Justice at the Dawn of AI,../originals/037-cost-of-justice-ai.pdf,1,0,6,p0:l6,dramatically because of economic forces without active consideration of potential,2,paragraph,paragraph,lm2-heuristic-fallback,keep,0.933923830436,keep,0.933923830436,0.0,2.8499999999999996,-1.5,lm2-catboost-augmented-epoch51lv-relabels-tc.cbm (shadow only),keep,0.982283541555,0.01448437553,0.982283541555,0.003232082915,false,normal,catboost_text,dramatically because of economic forces without active consideration of potential,0.887284634588,font_size,12.0,0.334783847044,uppercase_ratio,0.0,0.160315493909,3.298252308971,-1.519798387993,3.780160607197,0.5985303,1.0,1.0114464,false,true,0
037,The Cost of Justice at the Dawn of AI,../originals/037-cost-of-justice-ai.pdf,1,0,7,p0:l7,responses. Part of the reason for the lack of attention is that changes in legal,2,paragraph,paragraph,lm2-heuristic-fallback,keep,0.890765739762,keep,0.890765739762,0.0,2.3,-1.5,lm2-catboost-augmented-epoch51lv-relabels-tc.cbm (shadow only),keep,0.983960389132,0.013195896968,0.983960389132,0.0028437139,false,normal,catboost_text,responses. Part of the reason for the lack of attention is that changes in legal,0.86422668005,font_size,12.0,0.398245940687,uppercase_ratio,0.01538462,0.163466817318,3.258318572339,-1.241960572753,3.85798251429,0.58110607,1.0,1.0114464,false,true,0
037,The Cost of Justice at the Dawn of AI,../originals/037-cost-of-justice-ai.pdf,1,0,8,p0:l8,productivity can be difficult to measure or forecast. Some commentators have,2,paragraph,paragraph,lm2-heuristic-fallback,keep,0.933923830436,keep,0.933923830436,0.0,2.8499999999999996,-1.5,lm2-catboost-augmented-epoch51lv-relabels-tc.cbm (shadow only),keep,0.983220109225,0.013697217732,0.983220109225,0.003082673043,false,normal,catboost_text,productivity can be difficult to measure or forecast. Some commentators have,0.848076462417,font_size,12.0,0.398046343637,uppercase_ratio,0.01538462,0.163466817318,3.087416632045,-1.396750503501,3.839743807378,0.56368184,1.0,1.0114464,false,true,0
037,The Cost of Justice at the Dawn of AI,../originals/037-cost-of-justice-ai.pdf,1,0,9,p0:l9,"concluded that the legal sector has become more expensive in recent decades, but",2,paragraph,paragraph,lm2-heuristic-fallback,keep,0.890765739762,keep,0.890765739762,0.0,2.3,-1.5,lm2-catboost-augmented-epoch51lv-relabels-tc.cbm (shadow only),keep,0.983058647583,0.013930872716,0.983058647583,0.003010479701,false,normal,catboost_text,"concluded that the legal sector has become more expensive in recent decades, but",0.88478325228,font_size,11.864198,0.398046343637,uppercase_ratio,0.0,0.163198580436,3.022440509563,-1.122597076542,3.883552220307,0.54625756,0.98868316,1.0,false,true,0
